time_mt5,open,high,low,close,direction
2026.08.03 00:00:00,1.15469,1.15505,1.15426,1.15467,
2026.08.03 01:00:00,1.15460,1.15589,1.15460,1.15483,
2026.08.03 02:00:00,1.15481,1.15509,1.15420,1.15437,
2026.08.03 03:00:00,1.15436,1.15561,1.15349,1.15425,
2026.08.03 04:00:00,1.15424,1.15458,1.15298,1.15322,BEAR
2026.08.03 05:00:00,1.15322,1.15354,1.15285,1.15310,
2026.08.03 06:00:00,1.15310,1.15311,1.15269,1.15298,
2026.08.03 07:00:00,1.15297,1.15359,1.15290,1.15341,
2026.08.03 08:00:00,1.15342,1.15376,1.15317,1.15371,BULL
2026.08.03 09:00:00,1.15370,1.15388,1.15237,1.15270,
2026.08.03 10:00:00,1.15268,1.15322,1.15206,1.15261,BEAR
2026.08.03 11:00:00,1.15262,1.15276,1.15210,1.15226,
2026.08.03 12:00:00,1.15224,1.15303,1.15199,1.15221,
2026.08.03 13:00:00,1.15222,1.15247,1.15170,1.15221,
2026.08.03 14:00:00,1.15221,1.15325,1.15206,1.15325,BULL
2026.08.03 15:00:00,1.15324,1.15352,1.15227,1.15279,
2026.08.03 16:00:00,1.15280,1.15350,1.15218,1.15278,
2026.08.03 17:00:00,1.15278,1.15278,1.15101,1.15140,BEAR
2026.08.03 18:00:00,1.15139,1.15141,1.15002,1.15094,
2026.08.03 19:00:00,1.15096,1.15104,1.15043,1.15068,
2026.08.03 20:00:00,1.15067,1.15068,1.15012,1.15019,
2026.08.03 21:00:00,1.15020,1.15146,1.15015,1.15136,
2026.08.03 22:00:00,1.15135,1.15147,1.15094,1.15103,BULL
2026.08.03 23:00:00,1.15102,1.15109,1.15061,1.15080,
2026.08.04 00:00:00,1.15132,1.15134,1.15056,1.15080,
2026.08.04 01:00:00,1.15071,1.15108,1.15066,1.15089,BEAR
2026.08.04 02:00:00,1.15089,1.15105,1.15062,1.15069,
2026.08.04 03:00:00,1.15070,1.15151,1.15048,1.15056,
2026.08.04 04:00:00,1.15055,1.15146,1.15022,1.15124,
2026.08.04 05:00:00,1.15123,1.15137,1.15075,1.15079,BULL
2026.08.04 06:00:00,1.15078,1.15140,1.15074,1.15081,
2026.08.04 07:00:00,1.15082,1.15109,1.15058,1.15104,BEAR
2026.08.04 08:00:00,1.15103,1.15104,1.15036,1.15073,
2026.08.04 09:00:00,1.15071,1.15105,1.15037,1.15073,BULL
2026.08.04 10:00:00,1.15074,1.15170,1.15062,1.15109,BEAR
2026.08.04 11:00:00,1.15108,1.15143,1.15062,1.15078,
2026.08.04 12:00:00,1.15079,1.15112,1.15033,1.15080,BULL
2026.08.04 13:00:00,1.15081,1.15188,1.15075,1.15139,
2026.08.04 14:00:00,1.15138,1.15235,1.15115,1.15162,
2026.08.04 15:00:00,1.15163,1.15232,1.15133,1.15148,
2026.08.04 16:00:00,1.15148,1.15261,1.15092,1.15237,
2026.08.04 17:00:00,1.15247,1.15309,1.15189,1.15231,
2026.08.04 18:00:00,1.15232,1.15265,1.15132,1.15262,
2026.08.04 19:00:00,1.15263,1.15266,1.15165,1.15185,
2026.08.04 20:00:00,1.15186,1.15264,1.15185,1.15240,BEAR
2026.08.04 21:00:00,1.15239,1.15337,1.15226,1.15328,BULL
2026.08.04 22:00:00,1.15329,1.15335,1.15295,1.15308,
2026.08.04 23:00:00,1.15306,1.15340,1.15304,1.15309,
2026.08.05 00:00:00,1.15280,1.15314,1.15273,1.15288,
2026.08.05 01:00:00,1.15297,1.15330,1.15296,1.15328,BEAR
2026.08.05 02:00:00,1.15328,1.15333,1.15297,1.15318,BULL
2026.08.05 03:00:00,1.15319,1.15354,1.15295,1.15314,
2026.08.05 04:00:00,1.15315,1.15317,1.15268,1.15271,BEAR
2026.08.05 05:00:00,1.15271,1.15406,1.15267,1.15348,
2026.08.05 06:00:00,1.15348,1.15404,1.15346,1.15372,BULL
2026.08.05 07:00:00,1.15373,1.15403,1.15346,1.15362,
2026.08.05 08:00:00,1.15361,1.15379,1.15316,1.15356,
2026.08.05 09:00:00,1.15361,1.15459,1.15323,1.15447,
2026.08.05 10:00:00,1.15446,1.15467,1.15339,1.15380,
2026.08.05 11:00:00,1.15379,1.15445,1.15312,1.15356,
2026.08.05 12:00:00,1.15356,1.15426,1.15336,1.15397,BEAR
2026.08.05 13:00:00,1.15396,1.15409,1.15350,1.15396,
2026.08.05 14:00:00,1.15399,1.15553,1.15399,1.15527,BULL
2026.08.05 15:00:00,1.15528,1.15571,1.15448,1.15457,
2026.08.05 16:00:00,1.15456,1.15540,1.15401,1.15442,
2026.08.05 17:00:00,1.15443,1.15569,1.15405,1.15534,
2026.08.05 18:00:00,1.15535,1.15566,1.15429,1.15460,BEAR
2026.08.05 19:00:00,1.15461,1.15493,1.15426,1.15458,BULL
2026.08.05 20:00:00,1.15459,1.15573,1.15426,1.15563,
2026.08.05 21:00:00,1.15562,1.15595,1.15532,1.15536,
2026.08.05 22:00:00,1.15535,1.15548,1.15475,1.15510,
2026.08.05 23:00:00,1.15508,1.15542,1.15490,1.15531,
2026.08.06 00:00:00,1.15532,1.15567,1.15485,1.15497,BEAR
2026.08.06 01:00:00,1.15508,1.15550,1.15498,1.15546,BULL
2026.08.06 02:00:00,1.15547,1.15578,1.15540,1.15570,
2026.08.06 03:00:00,1.15570,1.15595,1.15546,1.15564,
2026.08.06 04:00:00,1.15564,1.15574,1.15536,1.15549,
2026.08.06 05:00:00,1.15550,1.15580,1.15524,1.15537,BEAR
2026.08.06 06:00:00,1.15537,1.15539,1.15467,1.15487,
2026.08.06 07:00:00,1.15488,1.15497,1.15470,1.15491,
2026.08.06 08:00:00,1.15490,1.15505,1.15445,1.15493,
2026.08.06 09:00:00,1.15494,1.15517,1.15430,1.15447,
2026.08.06 10:00:00,1.15448,1.15466,1.15410,1.15441,
2026.08.06 11:00:00,1.15442,1.15451,1.15389,1.15432,
2026.08.06 12:00:00,1.15431,1.15440,1.15364,1.15385,
2026.08.06 13:00:00,1.15383,1.15428,1.15364,1.15409,
2026.08.06 14:00:00,1.15410,1.15468,1.15376,1.15451,
2026.08.06 15:00:00,1.15451,1.15455,1.15367,1.15387,BULL
2026.08.06 16:00:00,1.15386,1.15450,1.15356,1.15428,
2026.08.06 17:00:00,1.15429,1.15442,1.15305,1.15352,BEAR
2026.08.06 18:00:00,1.15353,1.15358,1.15190,1.15208,
2026.08.06 19:00:00,1.15208,1.15227,1.15147,1.15205,
2026.08.06 20:00:00,1.15205,1.15228,1.15174,1.15228,
2026.08.06 21:00:00,1.15228,1.15248,1.15214,1.15237,
2026.08.06 22:00:00,1.15240,1.15257,1.15171,1.15231,BULL
2026.08.06 23:00:00,1.15230,1.15246,1.15188,1.15246,
2026.08.07 00:00:00,1.15235,1.15237,1.15182,1.15193,BEAR
2026.08.07 01:00:00,1.15203,1.15232,1.15199,1.15216,
2026.08.07 02:00:00,1.15220,1.15243,1.15216,1.15241,
2026.08.07 03:00:00,1.15240,1.15242,1.15179,1.15191,
2026.08.07 04:00:00,1.15193,1.15255,1.15184,1.15216,BULL
2026.08.07 05:00:00,1.15216,1.15235,1.15204,1.15213,BEAR
2026.08.07 06:00:00,1.15212,1.15233,1.15198,1.15233,BULL
2026.08.07 07:00:00,1.15232,1.15243,1.15214,1.15234,
2026.08.07 08:00:00,1.15234,1.15255,1.15205,1.15222,
2026.08.07 09:00:00,1.15220,1.15251,1.15209,1.15222,
2026.08.07 10:00:00,1.15221,1.15242,1.15176,1.15223,BEAR
2026.08.07 11:00:00,1.15223,1.15253,1.15179,1.15236,
2026.08.07 12:00:00,1.15235,1.15312,1.15229,1.15291,BULL
2026.08.07 13:00:00,1.15289,1.15293,1.15256,1.15269,
2026.08.07 14:00:00,1.15270,1.15333,1.15265,1.15330,
2026.08.07 15:00:00,1.15331,1.15808,1.15264,1.15728,
2026.08.07 16:00:00,1.15726,1.15754,1.15565,1.15575,
2026.08.07 17:00:00,1.15576,1.15642,1.15506,1.15531,
2026.08.07 18:00:00,1.15531,1.15637,1.15502,1.15586,
2026.08.07 19:00:00,1.15586,1.15672,1.15574,1.15590,BEAR
2026.08.07 20:00:00,1.15589,1.15635,1.15575,1.15611,BULL
2026.08.07 21:00:00,1.15612,1.15663,1.15587,1.15651,
2026.08.07 22:00:00,1.15649,1.15701,1.15608,1.15615,
2026.08.07 23:00:00,1.15616,1.15618,1.15555,1.15575,
2026.08.10 00:00:00,1.15611,1.15672,1.15588,1.15600,BEAR
2026.08.10 01:00:00,1.15602,1.15619,1.15549,1.15555,
2026.08.10 02:00:00,1.15554,1.15582,1.15543,1.15554,
2026.08.10 03:00:00,1.15555,1.15591,1.15541,1.15582,
2026.08.10 04:00:00,1.15582,1.15590,1.15519,1.15540,
2026.08.10 05:00:00,1.15539,1.15550,1.15507,1.15514,
2026.08.10 06:00:00,1.15515,1.15527,1.15486,1.15490,
2026.08.10 07:00:00,1.15491,1.15526,1.15479,1.15513,
2026.08.10 08:00:00,1.15514,1.15560,1.15500,1.15547,
2026.08.10 09:00:00,1.15543,1.15575,1.15523,1.15549,BULL
2026.08.10 10:00:00,1.15549,1.15654,1.15519,1.15609,
2026.08.10 11:00:00,1.15610,1.15656,1.15594,1.15610,
2026.08.10 12:00:00,1.15610,1.15637,1.15568,1.15568,
2026.08.10 13:00:00,1.15567,1.15580,1.15543,1.15554,BEAR
2026.08.10 14:00:00,1.15554,1.15564,1.15489,1.15522,
2026.08.10 15:00:00,1.15522,1.15551,1.15454,1.15470,
2026.08.10 16:00:00,1.15471,1.15536,1.15439,1.15449,
2026.08.10 17:00:00,1.15450,1.15558,1.15443,1.15518,
2026.08.10 18:00:00,1.15517,1.15534,1.15463,1.15517,
2026.08.10 19:00:00,1.15516,1.15542,1.15450,1.15470,BULL
2026.08.10 20:00:00,1.15471,1.15475,1.15410,1.15427,BEAR
2026.08.10 21:00:00,1.15428,1.15448,1.15400,1.15421,
2026.08.10 22:00:00,1.15421,1.15432,1.15401,1.15413,
2026.08.10 23:00:00,1.15414,1.15433,1.15414,1.15424,
2026.08.11 00:00:00,1.15415,1.15432,1.15384,1.15427,
2026.08.11 01:00:00,1.15425,1.15449,1.15407,1.15438,BULL
2026.08.11 02:00:00,1.15438,1.15466,1.15423,1.15460,
2026.08.11 03:00:00,1.15461,1.15495,1.15453,1.15461,
2026.08.11 04:00:00,1.15460,1.15498,1.15429,1.15460,
2026.08.11 05:00:00,1.15461,1.15465,1.15387,1.15398,BEAR
2026.08.11 06:00:00,1.15398,1.15451,1.15395,1.15429,
2026.08.11 07:00:00,1.15430,1.15452,1.15392,1.15428,
2026.08.11 08:00:00,1.15429,1.15430,1.15385,1.15411,
2026.08.11 09:00:00,1.15414,1.15434,1.15329,1.15370,
2026.08.11 10:00:00,1.15370,1.15401,1.15317,1.15320,
2026.08.11 11:00:00,1.15321,1.15386,1.15313,1.15362,
2026.08.11 12:00:00,1.15361,1.15372,1.15329,1.15371,
2026.08.11 13:00:00,1.15370,1.15383,1.15334,1.15365,BULL
2026.08.11 14:00:00,1.15365,1.15436,1.15345,1.15363,
2026.08.11 15:00:00,1.15364,1.15441,1.15338,1.15415,
2026.08.11 16:00:00,1.15415,1.15484,1.15391,1.15441,
2026.08.11 17:00:00,1.15440,1.15440,1.15377,1.15426,
2026.08.11 18:00:00,1.15425,1.15446,1.15364,1.15429,
2026.08.11 19:00:00,1.15434,1.15436,1.15391,1.15395,BEAR
2026.08.11 20:00:00,1.15396,1.15401,1.15343,1.15379,
2026.08.11 21:00:00,1.15380,1.15422,1.15354,1.15405,
2026.08.11 22:00:00,1.15404,1.15430,1.15399,1.15427,
2026.08.11 23:00:00,1.15428,1.15438,1.15392,1.15415,BULL
2026.08.12 00:00:00,1.15402,1.15412,1.15381,1.15400,
2026.08.12 01:00:00,1.15400,1.15435,1.15400,1.15434,
2026.08.12 02:00:00,1.15435,1.15437,1.15411,1.15436,
2026.08.12 03:00:00,1.15436,1.15447,1.15394,1.15407,
2026.08.12 04:00:00,1.15408,1.15409,1.15365,1.15384,BEAR
2026.08.12 05:00:00,1.15382,1.15398,1.15352,1.15384,
2026.08.12 06:00:00,1.15383,1.15388,1.15348,1.15353,
2026.08.12 07:00:00,1.15353,1.15363,1.15327,1.15357,
2026.08.12 08:00:00,1.15357,1.15360,1.15321,1.15338,
2026.08.12 09:00:00,1.15337,1.15373,1.15334,1.15372,
2026.08.12 10:00:00,1.15371,1.15394,1.15358,1.15374,BULL
2026.08.12 11:00:00,1.15373,1.15401,1.15346,1.15371,
2026.08.12 12:00:00,1.15372,1.15498,1.15347,1.15360,
2026.08.12 13:00:00,1.15360,1.15390,1.15325,1.15349,BEAR
2026.08.12 14:00:00,1.15349,1.15455,1.15339,1.15435,BULL
2026.08.12 15:00:00,1.15437,1.15623,1.15328,1.15593,
2026.08.12 16:00:00,1.15596,1.15629,1.15460,1.15522,
2026.08.12 17:00:00,1.15524,1.15544,1.15389,1.15430,
2026.08.12 18:00:00,1.15430,1.15439,1.15352,1.15394,BEAR
2026.08.12 19:00:00,1.15394,1.15401,1.15246,1.15281,
2026.08.12 20:00:00,1.15280,1.15307,1.15213,1.15215,
2026.08.12 21:00:00,1.15215,1.15269,1.15198,1.15210,
2026.08.12 22:00:00,1.15210,1.15246,1.15198,1.15224,
2026.08.12 23:00:00,1.15223,1.15262,1.15214,1.15249,
2026.08.13 00:00:00,1.15262,1.15269,1.15202,1.15219,BULL
2026.08.13 01:00:00,1.15217,1.15268,1.15217,1.15267,
2026.08.13 02:00:00,1.15268,1.15280,1.15261,1.15278,
2026.08.13 03:00:00,1.15278,1.15313,1.15265,1.15288,
2026.08.13 04:00:00,1.15287,1.15311,1.15233,1.15248,
2026.08.13 05:00:00,1.15248,1.15256,1.15198,1.15218,BEAR
2026.08.13 06:00:00,1.15218,1.15241,1.15201,1.15225,
2026.08.13 07:00:00,1.15225,1.15270,1.15198,1.15258,
2026.08.13 08:00:00,1.15257,1.15272,1.15233,1.15250,BULL
2026.08.13 09:00:00,1.15252,1.15261,1.15118,1.15181,
2026.08.13 10:00:00,1.15180,1.15278,1.15169,1.15256,BEAR
2026.08.13 11:00:00,1.15257,1.15285,1.15226,1.15240,
2026.08.13 12:00:00,1.15241,1.15347,1.15232,1.15342,BULL
2026.08.13 13:00:00,1.15343,1.15386,1.15338,1.15359,
2026.08.13 14:00:00,1.15358,1.15387,1.15325,1.15340,
2026.08.13 15:00:00,1.15342,1.15443,1.15255,1.15438,
2026.08.13 16:00:00,1.15440,1.15452,1.15305,1.15343,
2026.08.13 17:00:00,1.15343,1.15454,1.15314,1.15439,
2026.08.13 18:00:00,1.15440,1.15454,1.15302,1.15306,BEAR
2026.08.13 19:00:00,1.15307,1.15328,1.15242,1.15295,
2026.08.13 20:00:00,1.15294,1.15315,1.15256,1.15279,
2026.08.13 21:00:00,1.15279,1.15322,1.15262,1.15289,
2026.08.13 22:00:00,1.15289,1.15315,1.15276,1.15288,
2026.08.13 23:00:00,1.15287,1.15302,1.15262,1.15276,
2026.08.14 00:00:00,1.15272,1.15309,1.15247,1.15274,
2026.08.14 01:00:00,1.15284,1.15317,1.15273,1.15314,
2026.08.14 02:00:00,1.15314,1.15344,1.15313,1.15337,BULL
2026.08.14 03:00:00,1.15336,1.15390,1.15333,1.15384,
2026.08.14 04:00:00,1.15383,1.15383,1.15321,1.15340,
2026.08.14 05:00:00,1.15341,1.15374,1.15335,1.15342,
2026.08.14 06:00:00,1.15343,1.15395,1.15338,1.15372,BEAR
2026.08.14 07:00:00,1.15372,1.15403,1.15366,1.15387,BULL
2026.08.14 08:00:00,1.15388,1.15427,1.15382,1.15418,
2026.08.14 09:00:00,1.15418,1.15445,1.15388,1.15445,
2026.08.14 10:00:00,1.15444,1.15511,1.15430,1.15509,
2026.08.14 11:00:00,1.15508,1.15577,1.15504,1.15558,
2026.08.14 12:00:00,1.15558,1.15569,1.15510,1.15547,
2026.08.14 13:00:00,1.15548,1.15561,1.15520,1.15557,
2026.08.14 14:00:00,1.15556,1.15718,1.15556,1.15653,
2026.08.14 15:00:00,1.15654,1.15786,1.15626,1.15659,
2026.08.14 16:00:00,1.15660,1.15846,1.15621,1.15804,
2026.08.14 17:00:00,1.15805,1.15853,1.15769,1.15806,
2026.08.14 18:00:00,1.15809,1.15853,1.15770,1.15803,
2026.08.14 19:00:00,1.15804,1.15819,1.15701,1.15711,
2026.08.14 20:00:00,1.15712,1.15713,1.15629,1.15648,BEAR
2026.08.14 21:00:00,1.15647,1.15669,1.15632,1.15655,
2026.08.14 22:00:00,1.15654,1.15691,1.15645,1.15684,
2026.08.14 23:00:00,1.15685,1.15702,1.15669,1.15701,BULL
2026.08.17 00:00:00,1.15627,1.15658,1.15608,1.15623,
2026.08.17 01:00:00,1.15626,1.15752,1.15626,1.15748,
2026.08.17 02:00:00,1.15748,1.15758,1.15726,1.15737,
2026.08.17 03:00:00,1.15738,1.15810,1.15737,1.15801,
2026.08.17 04:00:00,1.15802,1.15837,1.15780,1.15835,
2026.08.17 05:00:00,1.15835,1.15844,1.15789,1.15796,
2026.08.17 06:00:00,1.15795,1.15836,1.15783,1.15835,
2026.08.17 07:00:00,1.15834,1.15880,1.15826,1.15847,
2026.08.17 08:00:00,1.15847,1.15893,1.15826,1.15873,
2026.08.17 09:00:00,1.15873,1.15968,1.15835,1.15957,
2026.08.17 10:00:00,1.15958,1.16119,1.15927,1.16067,
2026.08.17 11:00:00,1.16065,1.16141,1.15954,1.15989,
2026.08.17 12:00:00,1.15988,1.16023,1.15959,1.15970,
2026.08.17 13:00:00,1.15969,1.15984,1.15894,1.15904,BEAR
2026.08.17 14:00:00,1.15905,1.15954,1.15876,1.15923,
2026.08.17 15:00:00,1.15923,1.15977,1.15873,1.15975,
2026.08.17 16:00:00,1.15977,1.15998,1.15876,1.15947,BULL
2026.08.17 17:00:00,1.15948,1.15992,1.15860,1.15868,
2026.08.17 18:00:00,1.15868,1.15901,1.15817,1.15900,BEAR
2026.08.17 19:00:00,1.15901,1.15918,1.15851,1.15884,
2026.08.17 20:00:00,1.15883,1.15896,1.15760,1.15771,
2026.08.17 21:00:00,1.15772,1.15785,1.15710,1.15725,
