time_mt5,direction,open,high,low,close
2026.08.03 04:00:00,BEAR,1.15424,1.15458,1.15298,1.15322
2026.08.03 08:00:00,BULL,1.15342,1.15376,1.15317,1.15371
2026.08.03 10:00:00,BEAR,1.15268,1.15322,1.15206,1.15261
2026.08.03 14:00:00,BULL,1.15221,1.15325,1.15206,1.15325
2026.08.03 17:00:00,BEAR,1.15278,1.15278,1.15101,1.15140
2026.08.03 22:00:00,BULL,1.15135,1.15147,1.15094,1.15103
2026.08.04 01:00:00,BEAR,1.15071,1.15108,1.15066,1.15089
2026.08.04 05:00:00,BULL,1.15123,1.15137,1.15075,1.15079
2026.08.04 07:00:00,BEAR,1.15082,1.15109,1.15058,1.15104
2026.08.04 09:00:00,BULL,1.15071,1.15105,1.15037,1.15073
2026.08.04 10:00:00,BEAR,1.15074,1.15170,1.15062,1.15109
2026.08.04 12:00:00,BULL,1.15079,1.15112,1.15033,1.15080
2026.08.04 20:00:00,BEAR,1.15186,1.15264,1.15185,1.15240
2026.08.04 21:00:00,BULL,1.15239,1.15337,1.15226,1.15328
2026.08.05 01:00:00,BEAR,1.15297,1.15330,1.15296,1.15328
2026.08.05 02:00:00,BULL,1.15328,1.15333,1.15297,1.15318
2026.08.05 04:00:00,BEAR,1.15315,1.15317,1.15268,1.15271
2026.08.05 06:00:00,BULL,1.15348,1.15404,1.15346,1.15372
2026.08.05 12:00:00,BEAR,1.15356,1.15426,1.15336,1.15397
2026.08.05 14:00:00,BULL,1.15399,1.15553,1.15399,1.15527
2026.08.05 18:00:00,BEAR,1.15535,1.15566,1.15429,1.15460
2026.08.05 19:00:00,BULL,1.15461,1.15493,1.15426,1.15458
2026.08.06 00:00:00,BEAR,1.15532,1.15567,1.15485,1.15497
2026.08.06 01:00:00,BULL,1.15508,1.15550,1.15498,1.15546
2026.08.06 05:00:00,BEAR,1.15550,1.15580,1.15524,1.15537
2026.08.06 15:00:00,BULL,1.15451,1.15455,1.15367,1.15387
2026.08.06 17:00:00,BEAR,1.15429,1.15442,1.15305,1.15352
2026.08.06 22:00:00,BULL,1.15240,1.15257,1.15171,1.15231
2026.08.07 00:00:00,BEAR,1.15235,1.15237,1.15182,1.15193
2026.08.07 04:00:00,BULL,1.15193,1.15255,1.15184,1.15216
2026.08.07 05:00:00,BEAR,1.15216,1.15235,1.15204,1.15213
2026.08.07 06:00:00,BULL,1.15212,1.15233,1.15198,1.15233
2026.08.07 10:00:00,BEAR,1.15221,1.15242,1.15176,1.15223
2026.08.07 12:00:00,BULL,1.15235,1.15312,1.15229,1.15291
2026.08.07 19:00:00,BEAR,1.15586,1.15672,1.15574,1.15590
2026.08.07 20:00:00,BULL,1.15589,1.15635,1.15575,1.15611
2026.08.10 00:00:00,BEAR,1.15611,1.15672,1.15588,1.15600
2026.08.10 09:00:00,BULL,1.15543,1.15575,1.15523,1.15549
2026.08.10 13:00:00,BEAR,1.15567,1.15580,1.15543,1.15554
2026.08.10 19:00:00,BULL,1.15516,1.15542,1.15450,1.15470
2026.08.10 20:00:00,BEAR,1.15471,1.15475,1.15410,1.15427
2026.08.11 01:00:00,BULL,1.15425,1.15449,1.15407,1.15438
2026.08.11 05:00:00,BEAR,1.15461,1.15465,1.15387,1.15398
2026.08.11 13:00:00,BULL,1.15370,1.15383,1.15334,1.15365
2026.08.11 19:00:00,BEAR,1.15434,1.15436,1.15391,1.15395
2026.08.11 23:00:00,BULL,1.15428,1.15438,1.15392,1.15415
2026.08.12 04:00:00,BEAR,1.15408,1.15409,1.15365,1.15384
2026.08.12 10:00:00,BULL,1.15371,1.15394,1.15358,1.15374
2026.08.12 13:00:00,BEAR,1.15360,1.15390,1.15325,1.15349
2026.08.12 14:00:00,BULL,1.15349,1.15455,1.15339,1.15435
2026.08.12 18:00:00,BEAR,1.15430,1.15439,1.15352,1.15394
2026.08.13 00:00:00,BULL,1.15262,1.15269,1.15202,1.15219
2026.08.13 05:00:00,BEAR,1.15248,1.15256,1.15198,1.15218
2026.08.13 08:00:00,BULL,1.15257,1.15272,1.15233,1.15250
2026.08.13 10:00:00,BEAR,1.15180,1.15278,1.15169,1.15256
2026.08.13 12:00:00,BULL,1.15241,1.15347,1.15232,1.15342
2026.08.13 18:00:00,BEAR,1.15440,1.15454,1.15302,1.15306
2026.08.14 02:00:00,BULL,1.15314,1.15344,1.15313,1.15337
2026.08.14 06:00:00,BEAR,1.15343,1.15395,1.15338,1.15372
2026.08.14 07:00:00,BULL,1.15372,1.15403,1.15366,1.15387
2026.08.14 20:00:00,BEAR,1.15712,1.15713,1.15629,1.15648
2026.08.14 23:00:00,BULL,1.15685,1.15702,1.15669,1.15701
2026.08.17 13:00:00,BEAR,1.15969,1.15984,1.15894,1.15904
2026.08.17 16:00:00,BULL,1.15977,1.15998,1.15876,1.15947
2026.08.17 18:00:00,BEAR,1.15868,1.15901,1.15817,1.15900
2026.08.18 00:00:00,BULL,1.15830,1.15830,1.15769,1.15772
