time_mt5,open,high,low,close,direction
2026.09.08 03:00:00,1.16279,1.16312,1.16240,1.16265,
2026.09.08 04:00:00,1.16266,1.16334,1.16258,1.16334,
2026.09.08 05:00:00,1.16333,1.16344,1.16237,1.16240,
2026.09.08 06:00:00,1.16240,1.16271,1.16230,1.16244,
2026.09.08 07:00:00,1.16248,1.16256,1.16224,1.16249,BEAR
2026.09.08 08:00:00,1.16250,1.16309,1.16232,1.16307,
2026.09.08 09:00:00,1.16313,1.16359,1.16208,1.16209,BULL
2026.09.08 10:00:00,1.16208,1.16232,1.16099,1.16129,BEAR
2026.09.08 11:00:00,1.16128,1.16164,1.16085,1.16106,
2026.09.08 12:00:00,1.16107,1.16164,1.16091,1.16141,
2026.09.08 13:00:00,1.16141,1.16166,1.16089,1.16125,
2026.09.08 14:00:00,1.16126,1.16190,1.16079,1.16134,BULL
2026.09.08 15:00:00,1.16134,1.16203,1.16108,1.16203,
2026.09.08 16:00:00,1.16203,1.16275,1.16188,1.16221,
2026.09.08 17:00:00,1.16220,1.16313,1.16190,1.16310,
2026.09.08 18:00:00,1.16312,1.16339,1.16263,1.16263,
2026.09.08 19:00:00,1.16262,1.16265,1.16205,1.16235,
2026.09.08 20:00:00,1.16236,1.16274,1.16234,1.16261,BEAR
2026.09.08 21:00:00,1.16262,1.16306,1.16220,1.16289,
2026.09.08 22:00:00,1.16289,1.16303,1.16223,1.16232,BULL
2026.09.08 23:00:00,1.16233,1.16253,1.16217,1.16237,
2026.09.09 00:00:00,1.16247,1.16266,1.16226,1.16247,BEAR
2026.09.09 01:00:00,1.16226,1.16275,1.16226,1.16258,
2026.09.09 02:00:00,1.16258,1.16287,1.16252,1.16279,BULL
2026.09.09 03:00:00,1.16279,1.16324,1.16279,1.16324,
2026.09.09 04:00:00,1.16324,1.16325,1.16276,1.16313,
2026.09.09 05:00:00,1.16312,1.16317,1.16281,1.16310,
2026.09.09 06:00:00,1.16310,1.16321,1.16290,1.16301,
2026.09.09 07:00:00,1.16301,1.16333,1.16297,1.16328,BEAR
2026.09.09 08:00:00,1.16328,1.16367,1.16317,1.16342,BULL
2026.09.09 09:00:00,1.16343,1.16450,1.16343,1.16383,
2026.09.09 10:00:00,1.16384,1.16492,1.16374,1.16427,
2026.09.09 11:00:00,1.16428,1.16432,1.16325,1.16328,
2026.09.09 12:00:00,1.16328,1.16346,1.16224,1.16237,BEAR
2026.09.09 13:00:00,1.16236,1.16334,1.16218,1.16303,
2026.09.09 14:00:00,1.16303,1.16487,1.16301,1.16457,
2026.09.09 15:00:00,1.16458,1.16542,1.16426,1.16464,BULL
2026.09.09 16:00:00,1.16465,1.16499,1.16448,1.16474,
2026.09.09 17:00:00,1.16474,1.16530,1.16444,1.16480,
2026.09.09 18:00:00,1.16480,1.16514,1.16201,1.16271,BEAR
2026.09.09 19:00:00,1.16271,1.16397,1.16269,1.16358,
2026.09.09 20:00:00,1.16359,1.16411,1.16349,1.16381,
2026.09.09 21:00:00,1.16382,1.16396,1.16279,1.16293,
2026.09.09 22:00:00,1.16294,1.16317,1.16256,1.16311,BULL
2026.09.09 23:00:00,1.16312,1.16335,1.16277,1.16334,BEAR
2026.09.10 00:00:00,1.16319,1.16365,1.16256,1.16332,
2026.09.10 01:00:00,1.16334,1.16385,1.16333,1.16377,BULL
2026.09.10 02:00:00,1.16377,1.16382,1.16328,1.16339,
