time_mt5,direction,open,high,low,close
2026.09.08 07:00:00,BEAR,1.16248,1.16256,1.16224,1.16249
2026.09.08 09:00:00,BULL,1.16313,1.16359,1.16208,1.16209
2026.09.08 10:00:00,BEAR,1.16208,1.16232,1.16099,1.16129
2026.09.08 14:00:00,BULL,1.16126,1.16190,1.16079,1.16134
2026.09.08 20:00:00,BEAR,1.16236,1.16274,1.16234,1.16261
2026.09.08 22:00:00,BULL,1.16289,1.16303,1.16223,1.16232
2026.09.09 00:00:00,BEAR,1.16247,1.16266,1.16226,1.16247
2026.09.09 02:00:00,BULL,1.16258,1.16287,1.16252,1.16279
2026.09.09 07:00:00,BEAR,1.16301,1.16333,1.16297,1.16328
2026.09.09 08:00:00,BULL,1.16328,1.16367,1.16317,1.16342
2026.09.09 12:00:00,BEAR,1.16328,1.16346,1.16224,1.16237
2026.09.09 15:00:00,BULL,1.16458,1.16542,1.16426,1.16464
2026.09.09 18:00:00,BEAR,1.16480,1.16514,1.16201,1.16271
2026.09.09 22:00:00,BULL,1.16294,1.16317,1.16256,1.16311
2026.09.09 23:00:00,BEAR,1.16312,1.16335,1.16277,1.16334
2026.09.10 01:00:00,BULL,1.16334,1.16385,1.16333,1.16377
