time_utc,open,high,low,close,direction
2026-08-02T21:00:00Z,1.15485,1.15509,1.15454,1.15490,
2026-08-02T22:00:00Z,1.15490,1.15590,1.15470,1.15485,
2026-08-02T23:00:00Z,1.15484,1.15512,1.15420,1.15438,
2026-08-03T00:00:00Z,1.15438,1.15560,1.15350,1.15424,
2026-08-03T01:00:00Z,1.15426,1.15460,1.15300,1.15322,BEAR
2026-08-03T02:00:00Z,1.15323,1.15354,1.15284,1.15310,
2026-08-03T03:00:00Z,1.15310,1.15311,1.15270,1.15300,
2026-08-03T04:00:00Z,1.15298,1.15360,1.15290,1.15342,
2026-08-03T05:00:00Z,1.15342,1.15376,1.15316,1.15372,BULL
2026-08-03T06:00:00Z,1.15372,1.15388,1.15236,1.15270,
2026-08-03T07:00:00Z,1.15268,1.15322,1.15206,1.15261,BEAR
2026-08-03T08:00:00Z,1.15262,1.15278,1.15210,1.15228,
2026-08-03T09:00:00Z,1.15226,1.15303,1.15200,1.15222,
2026-08-03T10:00:00Z,1.15222,1.15247,1.15169,1.15222,
2026-08-03T11:00:00Z,1.15221,1.15326,1.15208,1.15325,BULL
2026-08-03T12:00:00Z,1.15324,1.15352,1.15228,1.15281,
2026-08-03T13:00:00Z,1.15282,1.15351,1.15218,1.15274,
2026-08-03T14:00:00Z,1.15274,1.15274,1.15102,1.15140,BEAR
2026-08-03T15:00:00Z,1.15141,1.15142,1.15004,1.15096,
2026-08-03T16:00:00Z,1.15098,1.15105,1.15044,1.15068,
2026-08-03T17:00:00Z,1.15069,1.15070,1.15014,1.15020,
2026-08-03T18:00:00Z,1.15020,1.15148,1.15016,1.15136,
2026-08-03T19:00:00Z,1.15136,1.15148,1.15094,1.15103,BULL
2026-08-03T20:00:00Z,1.15102,1.15108,1.15064,1.15084,
2026-08-03T21:00:00Z,1.15118,1.15126,1.15073,1.15114,
2026-08-03T22:00:00Z,1.15112,1.15112,1.15068,1.15089,BEAR
2026-08-03T23:00:00Z,1.15088,1.15104,1.15065,1.15070,
2026-08-04T00:00:00Z,1.15070,1.15150,1.15048,1.15055,
2026-08-04T01:00:00Z,1.15054,1.15146,1.15022,1.15124,
2026-08-04T02:00:00Z,1.15124,1.15139,1.15078,1.15081,BULL
2026-08-04T03:00:00Z,1.15080,1.15142,1.15075,1.15080,
2026-08-04T04:00:00Z,1.15081,1.15110,1.15058,1.15104,BEAR
2026-08-04T05:00:00Z,1.15102,1.15105,1.15038,1.15072,
2026-08-04T06:00:00Z,1.15073,1.15106,1.15038,1.15074,BULL
2026-08-04T07:00:00Z,1.15074,1.15172,1.15064,1.15108,BEAR
2026-08-04T08:00:00Z,1.15109,1.15144,1.15062,1.15079,
2026-08-04T09:00:00Z,1.15078,1.15112,1.15032,1.15080,BULL
2026-08-04T10:00:00Z,1.15080,1.15189,1.15077,1.15139,
2026-08-04T11:00:00Z,1.15140,1.15234,1.15114,1.15162,
2026-08-04T12:00:00Z,1.15162,1.15234,1.15134,1.15149,
2026-08-04T13:00:00Z,1.15148,1.15261,1.15093,1.15245,
2026-08-04T14:00:00Z,1.15244,1.15309,1.15189,1.15232,
2026-08-04T15:00:00Z,1.15232,1.15266,1.15134,1.15262,
2026-08-04T16:00:00Z,1.15264,1.15266,1.15166,1.15187,
2026-08-04T17:00:00Z,1.15188,1.15264,1.15186,1.15242,BEAR
2026-08-04T18:00:00Z,1.15240,1.15338,1.15228,1.15329,BULL
2026-08-04T19:00:00Z,1.15330,1.15334,1.15296,1.15308,
2026-08-04T20:00:00Z,1.15308,1.15341,1.15306,1.15324,
2026-08-04T21:00:00Z,1.15286,1.15321,1.15285,1.15297,
2026-08-04T22:00:00Z,1.15298,1.15329,1.15293,1.15329,BEAR
2026-08-04T23:00:00Z,1.15328,1.15333,1.15299,1.15321,
2026-08-05T00:00:00Z,1.15322,1.15356,1.15297,1.15314,BULL
2026-08-05T01:00:00Z,1.15315,1.15317,1.15268,1.15271,BEAR
2026-08-05T02:00:00Z,1.15272,1.15406,1.15268,1.15348,
2026-08-05T03:00:00Z,1.15348,1.15404,1.15347,1.15372,BULL
2026-08-05T04:00:00Z,1.15373,1.15403,1.15346,1.15362,
2026-08-05T05:00:00Z,1.15362,1.15382,1.15318,1.15356,
2026-08-05T06:00:00Z,1.15358,1.15459,1.15324,1.15449,
2026-08-05T07:00:00Z,1.15448,1.15468,1.15340,1.15380,
2026-08-05T08:00:00Z,1.15380,1.15448,1.15312,1.15356,
2026-08-05T09:00:00Z,1.15357,1.15427,1.15336,1.15398,BEAR
2026-08-05T10:00:00Z,1.15398,1.15410,1.15352,1.15396,
2026-08-05T11:00:00Z,1.15397,1.15552,1.15397,1.15528,BULL
2026-08-05T12:00:00Z,1.15527,1.15572,1.15448,1.15456,
2026-08-05T13:00:00Z,1.15456,1.15540,1.15402,1.15441,
2026-08-05T14:00:00Z,1.15438,1.15570,1.15422,1.15534,
2026-08-05T15:00:00Z,1.15535,1.15566,1.15428,1.15460,BEAR
2026-08-05T16:00:00Z,1.15460,1.15493,1.15428,1.15460,BULL
2026-08-05T17:00:00Z,1.15460,1.15573,1.15428,1.15564,
2026-08-05T18:00:00Z,1.15563,1.15594,1.15532,1.15536,
2026-08-05T19:00:00Z,1.15537,1.15549,1.15476,1.15509,
2026-08-05T20:00:00Z,1.15508,1.15541,1.15492,1.15534,
2026-08-05T21:00:00Z,1.15548,1.15568,1.15526,1.15529,BEAR
2026-08-05T22:00:00Z,1.15528,1.15552,1.15512,1.15548,BULL
2026-08-05T23:00:00Z,1.15549,1.15578,1.15542,1.15571,
2026-08-06T00:00:00Z,1.15572,1.15597,1.15547,1.15564,
2026-08-06T01:00:00Z,1.15564,1.15576,1.15536,1.15550,
2026-08-06T02:00:00Z,1.15550,1.15580,1.15526,1.15536,BEAR
2026-08-06T03:00:00Z,1.15537,1.15539,1.15469,1.15488,
2026-08-06T04:00:00Z,1.15488,1.15496,1.15470,1.15491,
2026-08-06T05:00:00Z,1.15492,1.15505,1.15446,1.15494,
2026-08-06T06:00:00Z,1.15493,1.15516,1.15431,1.15448,
2026-08-06T07:00:00Z,1.15449,1.15466,1.15412,1.15442,
2026-08-06T08:00:00Z,1.15444,1.15452,1.15390,1.15433,
2026-08-06T09:00:00Z,1.15432,1.15440,1.15365,1.15385,
2026-08-06T10:00:00Z,1.15386,1.15428,1.15365,1.15410,
2026-08-06T11:00:00Z,1.15411,1.15469,1.15377,1.15452,
2026-08-06T12:00:00Z,1.15452,1.15456,1.15368,1.15386,BULL
2026-08-06T13:00:00Z,1.15388,1.15450,1.15356,1.15430,
2026-08-06T14:00:00Z,1.15430,1.15442,1.15305,1.15352,BEAR
2026-08-06T15:00:00Z,1.15352,1.15358,1.15190,1.15207,
2026-08-06T16:00:00Z,1.15208,1.15228,1.15147,1.15206,
2026-08-06T17:00:00Z,1.15207,1.15229,1.15176,1.15228,
2026-08-06T18:00:00Z,1.15228,1.15248,1.15216,1.15237,
2026-08-06T19:00:00Z,1.15238,1.15258,1.15172,1.15233,BULL
2026-08-06T20:00:00Z,1.15232,1.15246,1.15188,1.15242,
2026-08-06T21:00:00Z,1.15245,1.15246,1.15197,1.15210,BEAR
2026-08-06T22:00:00Z,1.15204,1.15233,1.15204,1.15217,
2026-08-06T23:00:00Z,1.15218,1.15244,1.15218,1.15241,
2026-08-07T00:00:00Z,1.15239,1.15241,1.15180,1.15191,
2026-08-07T01:00:00Z,1.15190,1.15256,1.15184,1.15216,BULL
2026-08-07T02:00:00Z,1.15216,1.15236,1.15207,1.15216,BEAR
2026-08-07T03:00:00Z,1.15216,1.15234,1.15197,1.15234,BULL
2026-08-07T04:00:00Z,1.15233,1.15244,1.15216,1.15236,
2026-08-07T05:00:00Z,1.15236,1.15254,1.15208,1.15224,
2026-08-07T06:00:00Z,1.15225,1.15250,1.15210,1.15222,
2026-08-07T07:00:00Z,1.15222,1.15244,1.15177,1.15225,BEAR
2026-08-07T08:00:00Z,1.15226,1.15253,1.15181,1.15236,
2026-08-07T09:00:00Z,1.15235,1.15312,1.15230,1.15290,BULL
2026-08-07T10:00:00Z,1.15290,1.15292,1.15256,1.15270,
2026-08-07T11:00:00Z,1.15270,1.15334,1.15266,1.15331,
2026-08-07T12:00:00Z,1.15332,1.15808,1.15264,1.15727,
2026-08-07T13:00:00Z,1.15726,1.15754,1.15566,1.15577,
2026-08-07T14:00:00Z,1.15576,1.15643,1.15505,1.15532,
2026-08-07T15:00:00Z,1.15532,1.15638,1.15502,1.15586,
2026-08-07T16:00:00Z,1.15586,1.15674,1.15574,1.15590,BEAR
2026-08-07T17:00:00Z,1.15589,1.15634,1.15575,1.15612,BULL
2026-08-07T18:00:00Z,1.15613,1.15662,1.15590,1.15652,
2026-08-07T19:00:00Z,1.15652,1.15702,1.15609,1.15616,
2026-08-07T20:00:00Z,1.15616,1.15618,1.15558,1.15580,
2026-08-09T21:00:00Z,1.15664,1.15665,1.15604,1.15610,BEAR
2026-08-09T22:00:00Z,1.15610,1.15622,1.15548,1.15557,
2026-08-09T23:00:00Z,1.15556,1.15583,1.15542,1.15554,
2026-08-10T00:00:00Z,1.15555,1.15590,1.15540,1.15582,
2026-08-10T01:00:00Z,1.15582,1.15592,1.15519,1.15540,
2026-08-10T02:00:00Z,1.15540,1.15550,1.15510,1.15516,
2026-08-10T03:00:00Z,1.15516,1.15529,1.15488,1.15491,
2026-08-10T04:00:00Z,1.15492,1.15526,1.15480,1.15515,
2026-08-10T05:00:00Z,1.15514,1.15564,1.15500,1.15548,
2026-08-10T06:00:00Z,1.15547,1.15577,1.15524,1.15550,BULL
2026-08-10T07:00:00Z,1.15551,1.15657,1.15520,1.15609,
2026-08-10T08:00:00Z,1.15610,1.15658,1.15595,1.15609,
2026-08-10T09:00:00Z,1.15610,1.15638,1.15566,1.15568,
2026-08-10T10:00:00Z,1.15568,1.15580,1.15544,1.15554,BEAR
2026-08-10T11:00:00Z,1.15554,1.15564,1.15490,1.15524,
2026-08-10T12:00:00Z,1.15522,1.15552,1.15450,1.15470,
2026-08-10T13:00:00Z,1.15472,1.15537,1.15438,1.15450,
2026-08-10T14:00:00Z,1.15451,1.15558,1.15444,1.15520,
2026-08-10T15:00:00Z,1.15518,1.15536,1.15464,1.15516,
2026-08-10T16:00:00Z,1.15518,1.15542,1.15450,1.15470,BULL
2026-08-10T17:00:00Z,1.15471,1.15476,1.15410,1.15428,BEAR
2026-08-10T18:00:00Z,1.15429,1.15449,1.15400,1.15422,
2026-08-10T19:00:00Z,1.15422,1.15432,1.15402,1.15415,
2026-08-10T20:00:00Z,1.15416,1.15432,1.15414,1.15425,
2026-08-10T21:00:00Z,1.15429,1.15436,1.15420,1.15426,
2026-08-10T22:00:00Z,1.15428,1.15446,1.15423,1.15438,BULL
2026-08-10T23:00:00Z,1.15438,1.15468,1.15423,1.15462,
2026-08-11T00:00:00Z,1.15462,1.15498,1.15454,1.15462,
2026-08-11T01:00:00Z,1.15461,1.15498,1.15431,1.15462,
2026-08-11T02:00:00Z,1.15463,1.15464,1.15386,1.15398,BEAR
2026-08-11T03:00:00Z,1.15398,1.15450,1.15396,1.15430,
2026-08-11T04:00:00Z,1.15430,1.15452,1.15394,1.15428,
2026-08-11T05:00:00Z,1.15428,1.15430,1.15386,1.15410,
2026-08-11T06:00:00Z,1.15412,1.15434,1.15330,1.15369,
2026-08-11T07:00:00Z,1.15370,1.15402,1.15318,1.15321,
2026-08-11T08:00:00Z,1.15320,1.15386,1.15314,1.15362,
2026-08-11T09:00:00Z,1.15362,1.15374,1.15330,1.15372,
2026-08-11T10:00:00Z,1.15370,1.15385,1.15334,1.15366,BULL
2026-08-11T11:00:00Z,1.15366,1.15436,1.15346,1.15365,
2026-08-11T12:00:00Z,1.15365,1.15442,1.15339,1.15415,
2026-08-11T13:00:00Z,1.15414,1.15484,1.15391,1.15442,
2026-08-11T14:00:00Z,1.15441,1.15442,1.15378,1.15426,
2026-08-11T15:00:00Z,1.15427,1.15447,1.15366,1.15430,
2026-08-11T16:00:00Z,1.15431,1.15438,1.15391,1.15394,BEAR
2026-08-11T17:00:00Z,1.15396,1.15402,1.15344,1.15380,
2026-08-11T18:00:00Z,1.15380,1.15422,1.15355,1.15404,
2026-08-11T19:00:00Z,1.15406,1.15430,1.15400,1.15428,
2026-08-11T20:00:00Z,1.15427,1.15438,1.15394,1.15430,BULL
2026-08-11T21:00:00Z,1.15410,1.15420,1.15396,1.15406,
2026-08-11T22:00:00Z,1.15405,1.15436,1.15405,1.15434,
2026-08-11T23:00:00Z,1.15435,1.15438,1.15412,1.15436,BEAR
2026-08-12T00:00:00Z,1.15437,1.15448,1.15396,1.15408,BULL
2026-08-12T01:00:00Z,1.15408,1.15408,1.15366,1.15384,BEAR
2026-08-12T02:00:00Z,1.15384,1.15402,1.15352,1.15384,
2026-08-12T03:00:00Z,1.15384,1.15386,1.15350,1.15354,
2026-08-12T04:00:00Z,1.15354,1.15366,1.15330,1.15359,
2026-08-12T05:00:00Z,1.15360,1.15360,1.15322,1.15338,
2026-08-12T06:00:00Z,1.15338,1.15374,1.15334,1.15372,
2026-08-12T07:00:00Z,1.15372,1.15395,1.15358,1.15374,BULL
2026-08-12T08:00:00Z,1.15376,1.15401,1.15346,1.15372,
2026-08-12T09:00:00Z,1.15374,1.15500,1.15348,1.15362,
2026-08-12T10:00:00Z,1.15360,1.15391,1.15325,1.15350,BEAR
2026-08-12T11:00:00Z,1.15350,1.15455,1.15340,1.15436,BULL
2026-08-12T12:00:00Z,1.15436,1.15634,1.15328,1.15594,
2026-08-12T13:00:00Z,1.15596,1.15628,1.15460,1.15522,
2026-08-12T14:00:00Z,1.15524,1.15544,1.15390,1.15431,
2026-08-12T15:00:00Z,1.15430,1.15440,1.15352,1.15394,BEAR
2026-08-12T16:00:00Z,1.15394,1.15402,1.15246,1.15282,
2026-08-12T17:00:00Z,1.15281,1.15307,1.15214,1.15216,
2026-08-12T18:00:00Z,1.15216,1.15272,1.15199,1.15211,
2026-08-12T19:00:00Z,1.15212,1.15248,1.15199,1.15224,
2026-08-12T20:00:00Z,1.15226,1.15264,1.15214,1.15250,
2026-08-12T21:00:00Z,1.15274,1.15285,1.15220,1.15236,BULL
2026-08-12T22:00:00Z,1.15232,1.15268,1.15232,1.15267,
2026-08-12T23:00:00Z,1.15268,1.15280,1.15263,1.15278,
2026-08-13T00:00:00Z,1.15281,1.15314,1.15266,1.15289,
2026-08-13T01:00:00Z,1.15290,1.15310,1.15236,1.15248,
2026-08-13T02:00:00Z,1.15248,1.15256,1.15198,1.15219,BEAR
2026-08-13T03:00:00Z,1.15218,1.15244,1.15202,1.15226,
2026-08-13T04:00:00Z,1.15226,1.15270,1.15200,1.15260,
2026-08-13T05:00:00Z,1.15260,1.15272,1.15232,1.15250,BULL
2026-08-13T06:00:00Z,1.15252,1.15262,1.15118,1.15181,
2026-08-13T07:00:00Z,1.15182,1.15278,1.15170,1.15258,BEAR
2026-08-13T08:00:00Z,1.15258,1.15286,1.15228,1.15241,
2026-08-13T09:00:00Z,1.15242,1.15348,1.15232,1.15344,BULL
2026-08-13T10:00:00Z,1.15344,1.15386,1.15338,1.15359,
2026-08-13T11:00:00Z,1.15358,1.15386,1.15326,1.15342,
2026-08-13T12:00:00Z,1.15342,1.15444,1.15256,1.15439,
2026-08-13T13:00:00Z,1.15441,1.15453,1.15306,1.15344,
2026-08-13T14:00:00Z,1.15344,1.15454,1.15313,1.15440,
2026-08-13T15:00:00Z,1.15440,1.15456,1.15302,1.15306,BEAR
2026-08-13T16:00:00Z,1.15306,1.15328,1.15244,1.15296,
2026-08-13T17:00:00Z,1.15296,1.15316,1.15258,1.15279,
2026-08-13T18:00:00Z,1.15278,1.15324,1.15264,1.15290,
2026-08-13T19:00:00Z,1.15291,1.15314,1.15276,1.15288,
2026-08-13T20:00:00Z,1.15288,1.15300,1.15263,1.15293,BULL
2026-08-13T21:00:00Z,1.15286,1.15316,1.15265,1.15283,
2026-08-13T22:00:00Z,1.15284,1.15318,1.15284,1.15316,
2026-08-13T23:00:00Z,1.15316,1.15346,1.15316,1.15338,
2026-08-14T00:00:00Z,1.15336,1.15393,1.15334,1.15384,
2026-08-14T01:00:00Z,1.15382,1.15383,1.15320,1.15340,
2026-08-14T02:00:00Z,1.15342,1.15374,1.15336,1.15344,
2026-08-14T03:00:00Z,1.15344,1.15394,1.15339,1.15371,BEAR
