time_utc,direction,open,high,low,close
2026-08-03T01:00:00Z,BEAR,1.15426,1.15460,1.15300,1.15322
2026-08-03T05:00:00Z,BULL,1.15342,1.15376,1.15316,1.15372
2026-08-03T07:00:00Z,BEAR,1.15268,1.15322,1.15206,1.15261
2026-08-03T11:00:00Z,BULL,1.15221,1.15326,1.15208,1.15325
2026-08-03T14:00:00Z,BEAR,1.15274,1.15274,1.15102,1.15140
2026-08-03T19:00:00Z,BULL,1.15136,1.15148,1.15094,1.15103
2026-08-03T22:00:00Z,BEAR,1.15112,1.15112,1.15068,1.15089
2026-08-04T02:00:00Z,BULL,1.15124,1.15139,1.15078,1.15081
2026-08-04T04:00:00Z,BEAR,1.15081,1.15110,1.15058,1.15104
2026-08-04T06:00:00Z,BULL,1.15073,1.15106,1.15038,1.15074
2026-08-04T07:00:00Z,BEAR,1.15074,1.15172,1.15064,1.15108
2026-08-04T09:00:00Z,BULL,1.15078,1.15112,1.15032,1.15080
2026-08-04T17:00:00Z,BEAR,1.15188,1.15264,1.15186,1.15242
2026-08-04T18:00:00Z,BULL,1.15240,1.15338,1.15228,1.15329
2026-08-04T22:00:00Z,BEAR,1.15298,1.15329,1.15293,1.15329
2026-08-05T00:00:00Z,BULL,1.15322,1.15356,1.15297,1.15314
2026-08-05T01:00:00Z,BEAR,1.15315,1.15317,1.15268,1.15271
2026-08-05T03:00:00Z,BULL,1.15348,1.15404,1.15347,1.15372
2026-08-05T09:00:00Z,BEAR,1.15357,1.15427,1.15336,1.15398
2026-08-05T11:00:00Z,BULL,1.15397,1.15552,1.15397,1.15528
2026-08-05T15:00:00Z,BEAR,1.15535,1.15566,1.15428,1.15460
2026-08-05T16:00:00Z,BULL,1.15460,1.15493,1.15428,1.15460
2026-08-05T21:00:00Z,BEAR,1.15548,1.15568,1.15526,1.15529
2026-08-05T22:00:00Z,BULL,1.15528,1.15552,1.15512,1.15548
2026-08-06T02:00:00Z,BEAR,1.15550,1.15580,1.15526,1.15536
2026-08-06T12:00:00Z,BULL,1.15452,1.15456,1.15368,1.15386
2026-08-06T14:00:00Z,BEAR,1.15430,1.15442,1.15305,1.15352
2026-08-06T19:00:00Z,BULL,1.15238,1.15258,1.15172,1.15233
2026-08-06T21:00:00Z,BEAR,1.15245,1.15246,1.15197,1.15210
2026-08-07T01:00:00Z,BULL,1.15190,1.15256,1.15184,1.15216
2026-08-07T02:00:00Z,BEAR,1.15216,1.15236,1.15207,1.15216
2026-08-07T03:00:00Z,BULL,1.15216,1.15234,1.15197,1.15234
2026-08-07T07:00:00Z,BEAR,1.15222,1.15244,1.15177,1.15225
2026-08-07T09:00:00Z,BULL,1.15235,1.15312,1.15230,1.15290
2026-08-07T16:00:00Z,BEAR,1.15586,1.15674,1.15574,1.15590
2026-08-07T17:00:00Z,BULL,1.15589,1.15634,1.15575,1.15612
2026-08-09T21:00:00Z,BEAR,1.15664,1.15665,1.15604,1.15610
2026-08-10T06:00:00Z,BULL,1.15547,1.15577,1.15524,1.15550
2026-08-10T10:00:00Z,BEAR,1.15568,1.15580,1.15544,1.15554
2026-08-10T16:00:00Z,BULL,1.15518,1.15542,1.15450,1.15470
2026-08-10T17:00:00Z,BEAR,1.15471,1.15476,1.15410,1.15428
2026-08-10T22:00:00Z,BULL,1.15428,1.15446,1.15423,1.15438
2026-08-11T02:00:00Z,BEAR,1.15463,1.15464,1.15386,1.15398
2026-08-11T10:00:00Z,BULL,1.15370,1.15385,1.15334,1.15366
2026-08-11T16:00:00Z,BEAR,1.15431,1.15438,1.15391,1.15394
2026-08-11T20:00:00Z,BULL,1.15427,1.15438,1.15394,1.15430
2026-08-11T23:00:00Z,BEAR,1.15435,1.15438,1.15412,1.15436
2026-08-12T00:00:00Z,BULL,1.15437,1.15448,1.15396,1.15408
2026-08-12T01:00:00Z,BEAR,1.15408,1.15408,1.15366,1.15384
2026-08-12T07:00:00Z,BULL,1.15372,1.15395,1.15358,1.15374
2026-08-12T10:00:00Z,BEAR,1.15360,1.15391,1.15325,1.15350
2026-08-12T11:00:00Z,BULL,1.15350,1.15455,1.15340,1.15436
2026-08-12T15:00:00Z,BEAR,1.15430,1.15440,1.15352,1.15394
2026-08-12T21:00:00Z,BULL,1.15274,1.15285,1.15220,1.15236
2026-08-13T02:00:00Z,BEAR,1.15248,1.15256,1.15198,1.15219
2026-08-13T05:00:00Z,BULL,1.15260,1.15272,1.15232,1.15250
2026-08-13T07:00:00Z,BEAR,1.15182,1.15278,1.15170,1.15258
2026-08-13T09:00:00Z,BULL,1.15242,1.15348,1.15232,1.15344
2026-08-13T15:00:00Z,BEAR,1.15440,1.15456,1.15302,1.15306
2026-08-13T20:00:00Z,BULL,1.15288,1.15300,1.15263,1.15293
2026-08-14T03:00:00Z,BEAR,1.15344,1.15394,1.15339,1.15371
2026-08-14T04:00:00Z,BULL,1.15370,1.15404,1.15367,1.15388
2026-08-14T17:00:00Z,BEAR,1.15712,1.15715,1.15630,1.15648
2026-08-14T20:00:00Z,BULL,1.15686,1.15706,1.15672,1.15704
2026-08-17T10:00:00Z,BEAR,1.15968,1.15984,1.15896,1.15905
2026-08-17T13:00:00Z,BULL,1.15976,1.15998,1.15877,1.15946
2026-08-17T15:00:00Z,BEAR,1.15867,1.15902,1.15818,1.15900
2026-08-17T21:00:00Z,BULL,1.15822,1.15829,1.15780,1.15786
2026-08-18T03:00:00Z,BEAR,1.15802,1.15804,1.15716,1.15732
2026-08-18T07:00:00Z,BULL,1.15720,1.15776,1.15694,1.15738
2026-08-18T12:00:00Z,BEAR,1.15766,1.15794,1.15717,1.15740
2026-08-18T14:00:00Z,BULL,1.15806,1.15884,1.15803,1.15810
2026-08-18T17:00:00Z,BEAR,1.15796,1.15804,1.15743,1.15766
2026-08-18T22:00:00Z,BULL,1.15752,1.15768,1.15743,1.15764
2026-08-19T01:00:00Z,BEAR,1.15742,1.15779,1.15702,1.15772
2026-08-19T02:00:00Z,BULL,1.15772,1.15872,1.15766,1.15824
2026-08-19T23:00:00Z,BEAR,1.16752,1.16776,1.16728,1.16743
2026-08-20T02:00:00Z,BULL,1.16766,1.16840,1.16728,1.16750
2026-08-20T12:00:00Z,BEAR,1.16849,1.16902,1.16778,1.16887
2026-08-20T19:00:00Z,BULL,1.16760,1.16785,1.16734,1.16780
2026-08-21T12:00:00Z,BEAR,1.17008,1.17032,1.16851,1.16906
2026-08-21T17:00:00Z,BULL,1.16817,1.16830,1.16772,1.16804
2026-08-21T19:00:00Z,BEAR,1.16829,1.16833,1.16778,1.16788
2026-08-23T23:00:00Z,BULL,1.16757,1.16826,1.16747,1.16824
2026-08-24T03:00:00Z,BEAR,1.16818,1.16822,1.16780,1.16799
2026-08-24T12:00:00Z,BULL,1.16668,1.16740,1.16620,1.16694
2026-08-24T15:00:00Z,BEAR,1.16656,1.16725,1.16638,1.16646
2026-08-24T20:00:00Z,BULL,1.16613,1.16643,1.16604,1.16640
2026-08-25T02:00:00Z,BEAR,1.16630,1.16648,1.16589,1.16606
2026-08-25T08:00:00Z,BULL,1.16588,1.16678,1.16576,1.16676
2026-08-25T12:00:00Z,BEAR,1.16596,1.16665,1.16596,1.16664
2026-08-25T13:00:00Z,BULL,1.16664,1.16756,1.16643,1.16740
2026-08-25T22:00:00Z,BEAR,1.16723,1.16772,1.16723,1.16767
2026-08-26T00:00:00Z,BULL,1.16744,1.16758,1.16712,1.16726
2026-08-26T01:00:00Z,BEAR,1.16725,1.16742,1.16689,1.16702
2026-08-26T07:00:00Z,BULL,1.16670,1.16732,1.16670,1.16710
2026-08-26T10:00:00Z,BEAR,1.16660,1.16663,1.16611,1.16619
2026-08-26T17:00:00Z,BULL,1.16496,1.16545,1.16487,1.16528
2026-08-27T03:00:00Z,BEAR,1.16558,1.16564,1.16534,1.16542
2026-08-27T13:00:00Z,BULL,1.16410,1.16600,1.16400,1.16540
2026-08-27T19:00:00Z,BEAR,1.16490,1.16506,1.16474,1.16494
2026-08-27T21:00:00Z,BULL,1.16514,1.16542,1.16504,1.16530
2026-08-28T01:00:00Z,BEAR,1.16531,1.16554,1.16494,1.16496
2026-08-28T07:00:00Z,BULL,1.16484,1.16488,1.16417,1.16465
2026-08-28T09:00:00Z,BEAR,1.16444,1.16452,1.16396,1.16400
2026-08-28T12:00:00Z,BULL,1.16452,1.16505,1.16394,1.16491
2026-08-28T13:00:00Z,BEAR,1.16490,1.16500,1.16372,1.16376
2026-08-30T21:00:00Z,BULL,1.15818,1.15824,1.15782,1.15787
2026-08-30T22:00:00Z,BEAR,1.15796,1.15850,1.15788,1.15842
2026-08-31T00:00:00Z,BULL,1.15890,1.15938,1.15856,1.15923
2026-08-31T05:00:00Z,BEAR,1.15911,1.15914,1.15874,1.15904
2026-08-31T07:00:00Z,BULL,1.15890,1.16032,1.15848,1.16027
2026-08-31T11:00:00Z,BEAR,1.15973,1.16029,1.15957,1.15963
2026-08-31T14:00:00Z,BULL,1.15998,1.16182,1.15953,1.16140
2026-08-31T19:00:00Z,BEAR,1.16156,1.16184,1.16146,1.16164
2026-08-31T20:00:00Z,BULL,1.16166,1.16180,1.16144,1.16172
