time_utc,open,high,low,close,direction
2026-09-08T00:00:00Z,1.16282,1.16312,1.16240,1.16266,
2026-09-08T01:00:00Z,1.16267,1.16335,1.16258,1.16335,
2026-09-08T02:00:00Z,1.16334,1.16348,1.16236,1.16240,
2026-09-08T03:00:00Z,1.16239,1.16274,1.16229,1.16244,
2026-09-08T04:00:00Z,1.16247,1.16258,1.16224,1.16250,BEAR
2026-09-08T05:00:00Z,1.16250,1.16310,1.16234,1.16307,
2026-09-08T06:00:00Z,1.16308,1.16359,1.16208,1.16209,BULL
2026-09-08T07:00:00Z,1.16208,1.16234,1.16100,1.16128,BEAR
2026-09-08T08:00:00Z,1.16128,1.16164,1.16086,1.16106,
2026-09-08T09:00:00Z,1.16106,1.16164,1.16091,1.16142,
2026-09-08T10:00:00Z,1.16142,1.16165,1.16090,1.16126,
2026-09-08T11:00:00Z,1.16128,1.16192,1.16080,1.16134,BULL
2026-09-08T12:00:00Z,1.16135,1.16204,1.16107,1.16204,
2026-09-08T13:00:00Z,1.16204,1.16276,1.16189,1.16222,
2026-09-08T14:00:00Z,1.16222,1.16312,1.16190,1.16310,
2026-09-08T15:00:00Z,1.16312,1.16340,1.16264,1.16264,
2026-09-08T16:00:00Z,1.16264,1.16266,1.16208,1.16235,
2026-09-08T17:00:00Z,1.16236,1.16274,1.16235,1.16261,BEAR
2026-09-08T18:00:00Z,1.16261,1.16306,1.16220,1.16289,
2026-09-08T19:00:00Z,1.16290,1.16304,1.16224,1.16232,BULL
2026-09-08T20:00:00Z,1.16232,1.16254,1.16218,1.16230,
2026-09-08T21:00:00Z,1.16238,1.16273,1.16236,1.16262,BEAR
2026-09-08T22:00:00Z,1.16268,1.16274,1.16247,1.16258,
2026-09-08T23:00:00Z,1.16256,1.16290,1.16251,1.16278,BULL
2026-09-09T00:00:00Z,1.16278,1.16324,1.16278,1.16324,
2026-09-09T01:00:00Z,1.16324,1.16324,1.16276,1.16312,
2026-09-09T02:00:00Z,1.16312,1.16318,1.16280,1.16310,
2026-09-09T03:00:00Z,1.16310,1.16322,1.16290,1.16302,
2026-09-09T04:00:00Z,1.16301,1.16334,1.16298,1.16329,BEAR
2026-09-09T05:00:00Z,1.16328,1.16370,1.16321,1.16344,BULL
2026-09-09T06:00:00Z,1.16345,1.16451,1.16345,1.16384,
2026-09-09T07:00:00Z,1.16384,1.16494,1.16374,1.16428,
2026-09-09T08:00:00Z,1.16428,1.16432,1.16326,1.16329,
2026-09-09T09:00:00Z,1.16328,1.16348,1.16224,1.16237,BEAR
2026-09-09T10:00:00Z,1.16236,1.16336,1.16219,1.16304,
2026-09-09T11:00:00Z,1.16304,1.16488,1.16302,1.16457,
2026-09-09T12:00:00Z,1.16458,1.16544,1.16427,1.16465,BULL
2026-09-09T13:00:00Z,1.16464,1.16499,1.16448,1.16475,
2026-09-09T14:00:00Z,1.16474,1.16530,1.16445,1.16480,
2026-09-09T15:00:00Z,1.16481,1.16516,1.16202,1.16272,BEAR
2026-09-09T16:00:00Z,1.16272,1.16397,1.16270,1.16360,
2026-09-09T17:00:00Z,1.16360,1.16412,1.16352,1.16382,
2026-09-09T18:00:00Z,1.16382,1.16396,1.16282,1.16294,
2026-09-09T19:00:00Z,1.16294,1.16316,1.16258,1.16312,BULL
2026-09-09T20:00:00Z,1.16312,1.16338,1.16278,1.16332,BEAR
2026-09-09T21:00:00Z,1.16318,1.16368,1.16304,1.16355,
2026-09-09T22:00:00Z,1.16353,1.16384,1.16337,1.16376,BULL
2026-09-09T23:00:00Z,1.16375,1.16380,1.16329,1.16340,
