"time_utc","direction","open","high","low","close"
"2026-09-08T04:00:00Z","BEAR","1.16247","1.16258","1.16224","1.16250"
"2026-09-08T06:00:00Z","BULL","1.16308","1.16359","1.16208","1.16209"
"2026-09-08T07:00:00Z","BEAR","1.16208","1.16234","1.16100","1.16128"
"2026-09-08T11:00:00Z","BULL","1.16128","1.16192","1.16080","1.16134"
"2026-09-08T17:00:00Z","BEAR","1.16236","1.16274","1.16235","1.16261"
"2026-09-08T19:00:00Z","BULL","1.16290","1.16304","1.16224","1.16232"
"2026-09-08T21:00:00Z","BEAR","1.16238","1.16273","1.16236","1.16262"
"2026-09-08T23:00:00Z","BULL","1.16256","1.16290","1.16251","1.16278"
"2026-09-09T04:00:00Z","BEAR","1.16301","1.16334","1.16298","1.16329"
"2026-09-09T05:00:00Z","BULL","1.16328","1.16370","1.16321","1.16344"
"2026-09-09T09:00:00Z","BEAR","1.16328","1.16348","1.16224","1.16237"
"2026-09-09T12:00:00Z","BULL","1.16458","1.16544","1.16427","1.16465"
"2026-09-09T15:00:00Z","BEAR","1.16481","1.16516","1.16202","1.16272"
"2026-09-09T19:00:00Z","BULL","1.16294","1.16316","1.16258","1.16312"
"2026-09-09T20:00:00Z","BEAR","1.16312","1.16338","1.16278","1.16332"
"2026-09-09T22:00:00Z","BULL","1.16353","1.16384","1.16337","1.16376"
