time_utc,tv_signal,mt5_signal,status,tv_open,tv_high,tv_low,tv_close,mt5_open,mt5_high,mt5_low,mt5_close,close_abs_diff
2026-09-08T00:00:00+00:00,,,AGREE,1.16282,1.16312,1.1624,1.16266,1.16279,1.16312,1.1624,1.16265,1.0000000000065512e-05
2026-09-08T01:00:00+00:00,,,AGREE,1.16267,1.16335,1.16258,1.16335,1.16266,1.16334,1.16258,1.16334,1.0000000000065512e-05
2026-09-08T02:00:00+00:00,,,AGREE,1.16334,1.16348,1.16236,1.1624,1.16333,1.16344,1.16237,1.1624,0.0
2026-09-08T03:00:00+00:00,,,AGREE,1.16239,1.16274,1.16229,1.16244,1.1624,1.16271,1.1623,1.16244,0.0
2026-09-08T04:00:00+00:00,BEAR,BEAR,AGREE,1.16247,1.16258,1.16224,1.1625,1.16248,1.16256,1.16224,1.16249,1.0000000000065512e-05
2026-09-08T05:00:00+00:00,,,AGREE,1.1625,1.1631,1.16234,1.16307,1.1625,1.16309,1.16232,1.16307,0.0
2026-09-08T06:00:00+00:00,BULL,BULL,AGREE,1.16308,1.16359,1.16208,1.16209,1.16313,1.16359,1.16208,1.16209,0.0
2026-09-08T07:00:00+00:00,BEAR,BEAR,AGREE,1.16208,1.16234,1.161,1.16128,1.16208,1.16232,1.16099,1.16129,9.999999999843467e-06
2026-09-08T08:00:00+00:00,,,AGREE,1.16128,1.16164,1.16086,1.16106,1.16128,1.16164,1.16085,1.16106,0.0
2026-09-08T09:00:00+00:00,,,AGREE,1.16106,1.16164,1.16091,1.16142,1.16107,1.16164,1.16091,1.16141,9.999999999843467e-06
2026-09-08T10:00:00+00:00,,,AGREE,1.16142,1.16165,1.1609,1.16126,1.16141,1.16166,1.16089,1.16125,1.0000000000065512e-05
2026-09-08T11:00:00+00:00,BULL,BULL,AGREE,1.16128,1.16192,1.1608,1.16134,1.16126,1.1619,1.16079,1.16134,0.0
2026-09-08T12:00:00+00:00,,,AGREE,1.16135,1.16204,1.16107,1.16204,1.16134,1.16203,1.16108,1.16203,1.0000000000065512e-05
2026-09-08T13:00:00+00:00,,,AGREE,1.16204,1.16276,1.16189,1.16222,1.16203,1.16275,1.16188,1.16221,1.0000000000065512e-05
2026-09-08T14:00:00+00:00,,,AGREE,1.16222,1.16312,1.1619,1.1631,1.1622,1.16313,1.1619,1.1631,0.0
2026-09-08T15:00:00+00:00,,,AGREE,1.16312,1.1634,1.16264,1.16264,1.16312,1.16339,1.16263,1.16263,9.999999999843467e-06
2026-09-08T16:00:00+00:00,,,AGREE,1.16264,1.16266,1.16208,1.16235,1.16262,1.16265,1.16205,1.16235,0.0
2026-09-08T17:00:00+00:00,BEAR,BEAR,AGREE,1.16236,1.16274,1.16235,1.16261,1.16236,1.16274,1.16234,1.16261,0.0
2026-09-08T18:00:00+00:00,,,AGREE,1.16261,1.16306,1.1622,1.16289,1.16262,1.16306,1.1622,1.16289,0.0
2026-09-08T19:00:00+00:00,BULL,BULL,AGREE,1.1629,1.16304,1.16224,1.16232,1.16289,1.16303,1.16223,1.16232,0.0
2026-09-08T20:00:00+00:00,,,AGREE,1.16232,1.16254,1.16218,1.1623,1.16233,1.16253,1.16217,1.16237,6.999999999979245e-05
2026-09-08T21:00:00+00:00,BEAR,BEAR,AGREE,1.16238,1.16273,1.16236,1.16262,1.16247,1.16266,1.16226,1.16247,0.0001500000000000945
2026-09-08T22:00:00+00:00,,,AGREE,1.16268,1.16274,1.16247,1.16258,1.16226,1.16275,1.16226,1.16258,0.0
2026-09-08T23:00:00+00:00,BULL,BULL,AGREE,1.16256,1.1629,1.16251,1.16278,1.16258,1.16287,1.16252,1.16279,1.0000000000065512e-05
2026-09-09T00:00:00+00:00,,,AGREE,1.16278,1.16324,1.16278,1.16324,1.16279,1.16324,1.16279,1.16324,0.0
2026-09-09T01:00:00+00:00,,,AGREE,1.16324,1.16324,1.16276,1.16312,1.16324,1.16325,1.16276,1.16313,1.0000000000065512e-05
2026-09-09T02:00:00+00:00,,,AGREE,1.16312,1.16318,1.1628,1.1631,1.16312,1.16317,1.16281,1.1631,0.0
2026-09-09T03:00:00+00:00,,,AGREE,1.1631,1.16322,1.1629,1.16302,1.1631,1.16321,1.1629,1.16301,9.999999999843467e-06
2026-09-09T04:00:00+00:00,BEAR,BEAR,AGREE,1.16301,1.16334,1.16298,1.16329,1.16301,1.16333,1.16297,1.16328,9.999999999843467e-06
2026-09-09T05:00:00+00:00,BULL,BULL,AGREE,1.16328,1.1637,1.16321,1.16344,1.16328,1.16367,1.16317,1.16342,2.0000000000131024e-05
2026-09-09T06:00:00+00:00,,,AGREE,1.16345,1.16451,1.16345,1.16384,1.16343,1.1645,1.16343,1.16383,1.0000000000065512e-05
2026-09-09T07:00:00+00:00,,,AGREE,1.16384,1.16494,1.16374,1.16428,1.16384,1.16492,1.16374,1.16427,1.0000000000065512e-05
2026-09-09T08:00:00+00:00,,,AGREE,1.16428,1.16432,1.16326,1.16329,1.16428,1.16432,1.16325,1.16328,9.999999999843467e-06
2026-09-09T09:00:00+00:00,BEAR,BEAR,AGREE,1.16328,1.16348,1.16224,1.16237,1.16328,1.16346,1.16224,1.16237,0.0
2026-09-09T10:00:00+00:00,,,AGREE,1.16236,1.16336,1.16219,1.16304,1.16236,1.16334,1.16218,1.16303,1.0000000000065512e-05
2026-09-09T11:00:00+00:00,,,AGREE,1.16304,1.16488,1.16302,1.16457,1.16303,1.16487,1.16301,1.16457,0.0
2026-09-09T12:00:00+00:00,BULL,BULL,AGREE,1.16458,1.16544,1.16427,1.16465,1.16458,1.16542,1.16426,1.16464,1.0000000000065512e-05
2026-09-09T13:00:00+00:00,,,AGREE,1.16464,1.16499,1.16448,1.16475,1.16465,1.16499,1.16448,1.16474,9.999999999843467e-06
2026-09-09T14:00:00+00:00,,,AGREE,1.16474,1.1653,1.16445,1.1648,1.16474,1.1653,1.16444,1.1648,0.0
2026-09-09T15:00:00+00:00,BEAR,BEAR,AGREE,1.16481,1.16516,1.16202,1.16272,1.1648,1.16514,1.16201,1.16271,1.0000000000065512e-05
2026-09-09T16:00:00+00:00,,,AGREE,1.16272,1.16397,1.1627,1.1636,1.16271,1.16397,1.16269,1.16358,1.999999999990898e-05
2026-09-09T17:00:00+00:00,,,AGREE,1.1636,1.16412,1.16352,1.16382,1.16359,1.16411,1.16349,1.16381,1.0000000000065512e-05
2026-09-09T18:00:00+00:00,,,AGREE,1.16382,1.16396,1.16282,1.16294,1.16382,1.16396,1.16279,1.16293,1.0000000000065512e-05
2026-09-09T19:00:00+00:00,BULL,BULL,AGREE,1.16294,1.16316,1.16258,1.16312,1.16294,1.16317,1.16256,1.16311,9.999999999843467e-06
2026-09-09T20:00:00+00:00,BEAR,BEAR,AGREE,1.16312,1.16338,1.16278,1.16332,1.16312,1.16335,1.16277,1.16334,2.0000000000131024e-05
2026-09-09T21:00:00+00:00,,,AGREE,1.16318,1.16368,1.16304,1.16355,1.16319,1.16365,1.16256,1.16332,0.0002300000000001745
2026-09-09T22:00:00+00:00,BULL,BULL,AGREE,1.16353,1.16384,1.16337,1.16376,1.16334,1.16385,1.16333,1.16377,1.0000000000065512e-05
2026-09-09T23:00:00+00:00,,,AGREE,1.16375,1.1638,1.16329,1.1634,1.16377,1.16382,1.16328,1.16339,1.0000000000065512e-05
