time_utc,tv_signal,mt5_signal,status,tv_recomputed,tv_rule_check,tv_open,tv_high,tv_low,tv_close,mt5_open,mt5_high,mt5_low,mt5_close,close_abs_diff
2026-08-02T21:00:00+00:00,,,AGREE,,UNVERIFIABLE-NO-PREWINDOW,1.15485,1.15509,1.15454,1.1549,1.15469,1.15505,1.15426,1.15467,0.00022999999999995246
2026-08-02T22:00:00+00:00,,,AGREE,,UNVERIFIABLE-NO-PREWINDOW,1.1549,1.1559,1.1547,1.15485,1.1546,1.15589,1.1546,1.15483,1.999999999990898e-05
2026-08-02T23:00:00+00:00,,,AGREE,,UNVERIFIABLE-NO-PREWINDOW,1.15484,1.15512,1.1542,1.15438,1.15481,1.15509,1.1542,1.15437,1.0000000000065512e-05
2026-08-03T00:00:00+00:00,,,AGREE,,UNVERIFIABLE-NO-PREWINDOW,1.15438,1.1556,1.1535,1.15424,1.15436,1.15561,1.15349,1.15425,1.0000000000065512e-05
2026-08-03T01:00:00+00:00,BEAR,BEAR,AGREE,,UNVERIFIABLE-NO-PREWINDOW,1.15426,1.1546,1.153,1.15322,1.15424,1.15458,1.15298,1.15322,0.0
2026-08-03T02:00:00+00:00,,,AGREE,,AGREE,1.15323,1.15354,1.15284,1.1531,1.15322,1.15354,1.15285,1.1531,0.0
2026-08-03T03:00:00+00:00,,,AGREE,,AGREE,1.1531,1.15311,1.1527,1.153,1.1531,1.15311,1.15269,1.15298,2.0000000000131024e-05
2026-08-03T04:00:00+00:00,,,AGREE,,AGREE,1.15298,1.1536,1.1529,1.15342,1.15297,1.15359,1.1529,1.15341,9.999999999843467e-06
2026-08-03T05:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.15342,1.15376,1.15316,1.15372,1.15342,1.15376,1.15317,1.15371,1.0000000000065512e-05
2026-08-03T06:00:00+00:00,,,AGREE,,AGREE,1.15372,1.15388,1.15236,1.1527,1.1537,1.15388,1.15237,1.1527,0.0
2026-08-03T07:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.15268,1.15322,1.15206,1.15261,1.15268,1.15322,1.15206,1.15261,0.0
2026-08-03T08:00:00+00:00,,,AGREE,,AGREE,1.15262,1.15278,1.1521,1.15228,1.15262,1.15276,1.1521,1.15226,1.999999999990898e-05
2026-08-03T09:00:00+00:00,,,AGREE,,AGREE,1.15226,1.15303,1.152,1.15222,1.15224,1.15303,1.15199,1.15221,1.0000000000065512e-05
2026-08-03T10:00:00+00:00,,,AGREE,,AGREE,1.15222,1.15247,1.15169,1.15222,1.15222,1.15247,1.1517,1.15221,1.0000000000065512e-05
2026-08-03T11:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.15221,1.15326,1.15208,1.15325,1.15221,1.15325,1.15206,1.15325,0.0
2026-08-03T12:00:00+00:00,,,AGREE,,AGREE,1.15324,1.15352,1.15228,1.15281,1.15324,1.15352,1.15227,1.15279,1.999999999990898e-05
2026-08-03T13:00:00+00:00,,,AGREE,,AGREE,1.15282,1.15351,1.15218,1.15274,1.1528,1.1535,1.15218,1.15278,3.999999999981796e-05
2026-08-03T14:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.15274,1.15274,1.15102,1.1514,1.15278,1.15278,1.15101,1.1514,0.0
2026-08-03T15:00:00+00:00,,,AGREE,,AGREE,1.15141,1.15142,1.15004,1.15096,1.15139,1.15141,1.15002,1.15094,1.999999999990898e-05
2026-08-03T16:00:00+00:00,,,AGREE,,AGREE,1.15098,1.15105,1.15044,1.15068,1.15096,1.15104,1.15043,1.15068,0.0
2026-08-03T17:00:00+00:00,,,AGREE,,AGREE,1.15069,1.1507,1.15014,1.1502,1.15067,1.15068,1.15012,1.15019,9.999999999843467e-06
2026-08-03T18:00:00+00:00,,,AGREE,,AGREE,1.1502,1.15148,1.15016,1.15136,1.1502,1.15146,1.15015,1.15136,0.0
2026-08-03T19:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.15136,1.15148,1.15094,1.15103,1.15135,1.15147,1.15094,1.15103,0.0
2026-08-03T20:00:00+00:00,,,AGREE,,AGREE,1.15102,1.15108,1.15064,1.15084,1.15102,1.15109,1.15061,1.1508,4.0000000000040004e-05
2026-08-03T21:00:00+00:00,,,AGREE,,AGREE,1.15118,1.15126,1.15073,1.15114,1.15132,1.15134,1.15056,1.1508,0.00034000000000000696
2026-08-03T22:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.15112,1.15112,1.15068,1.15089,1.15071,1.15108,1.15066,1.15089,0.0
2026-08-03T23:00:00+00:00,,,AGREE,,AGREE,1.15088,1.15104,1.15065,1.1507,1.15089,1.15105,1.15062,1.15069,1.0000000000065512e-05
2026-08-04T00:00:00+00:00,,,AGREE,,AGREE,1.1507,1.1515,1.15048,1.15055,1.1507,1.15151,1.15048,1.15056,1.0000000000065512e-05
2026-08-04T01:00:00+00:00,,,AGREE,,AGREE,1.15054,1.15146,1.15022,1.15124,1.15055,1.15146,1.15022,1.15124,0.0
2026-08-04T02:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.15124,1.15139,1.15078,1.15081,1.15123,1.15137,1.15075,1.15079,2.0000000000131024e-05
2026-08-04T03:00:00+00:00,,,AGREE,,AGREE,1.1508,1.15142,1.15075,1.1508,1.15078,1.1514,1.15074,1.15081,1.0000000000065512e-05
2026-08-04T04:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.15081,1.1511,1.15058,1.15104,1.15082,1.15109,1.15058,1.15104,0.0
2026-08-04T05:00:00+00:00,,,AGREE,,AGREE,1.15102,1.15105,1.15038,1.15072,1.15103,1.15104,1.15036,1.15073,1.0000000000065512e-05
2026-08-04T06:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.15073,1.15106,1.15038,1.15074,1.15071,1.15105,1.15037,1.15073,1.0000000000065512e-05
2026-08-04T07:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.15074,1.15172,1.15064,1.15108,1.15074,1.1517,1.15062,1.15109,9.999999999843467e-06
2026-08-04T08:00:00+00:00,,,AGREE,,AGREE,1.15109,1.15144,1.15062,1.15079,1.15108,1.15143,1.15062,1.15078,1.0000000000065512e-05
2026-08-04T09:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.15078,1.15112,1.15032,1.1508,1.15079,1.15112,1.15033,1.1508,0.0
2026-08-04T10:00:00+00:00,,,AGREE,,AGREE,1.1508,1.15189,1.15077,1.15139,1.15081,1.15188,1.15075,1.15139,0.0
2026-08-04T11:00:00+00:00,,,AGREE,,AGREE,1.1514,1.15234,1.15114,1.15162,1.15138,1.15235,1.15115,1.15162,0.0
2026-08-04T12:00:00+00:00,,,AGREE,,AGREE,1.15162,1.15234,1.15134,1.15149,1.15163,1.15232,1.15133,1.15148,9.999999999843467e-06
2026-08-04T13:00:00+00:00,,,AGREE,,AGREE,1.15148,1.15261,1.15093,1.15245,1.15148,1.15261,1.15092,1.15237,8.000000000008001e-05
2026-08-04T14:00:00+00:00,,,AGREE,,AGREE,1.15244,1.15309,1.15189,1.15232,1.15247,1.15309,1.15189,1.15231,1.0000000000065512e-05
2026-08-04T15:00:00+00:00,,,AGREE,,AGREE,1.15232,1.15266,1.15134,1.15262,1.15232,1.15265,1.15132,1.15262,0.0
2026-08-04T16:00:00+00:00,,,AGREE,,AGREE,1.15264,1.15266,1.15166,1.15187,1.15263,1.15266,1.15165,1.15185,1.999999999990898e-05
2026-08-04T17:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.15188,1.15264,1.15186,1.15242,1.15186,1.15264,1.15185,1.1524,1.999999999990898e-05
2026-08-04T18:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.1524,1.15338,1.15228,1.15329,1.15239,1.15337,1.15226,1.15328,9.999999999843467e-06
2026-08-04T19:00:00+00:00,,,AGREE,,AGREE,1.1533,1.15334,1.15296,1.15308,1.15329,1.15335,1.15295,1.15308,0.0
2026-08-04T20:00:00+00:00,,,AGREE,,AGREE,1.15308,1.15341,1.15306,1.15324,1.15306,1.1534,1.15304,1.15309,0.0001500000000000945
