index,date_utc,open,high,low,close
0,2026-01-05T09:00:00Z,10.00,10.05,9.95,10.00
1,2026-01-05T10:00:00Z,10.00,10.05,9.95,10.00
2,2026-01-05T11:00:00Z,10.00,10.05,9.95,10.00
3,2026-01-05T12:00:00Z,10.00,10.05,9.95,10.00
4,2026-01-05T13:00:00Z,10.00,10.05,9.95,10.00
5,2026-01-05T14:00:00Z,10.00,12.05,9.95,12.00
6,2026-01-05T15:00:00Z,12.00,12.05,11.95,12.00
7,2026-01-05T16:00:00Z,12.00,12.05,11.95,12.00
8,2026-01-05T17:00:00Z,12.00,12.05,7.95,8.00
9,2026-01-05T18:00:00Z,8.00,8.05,7.95,8.00
10,2026-01-05T19:00:00Z,8.00,8.05,7.95,8.00
11,2026-01-05T20:00:00Z,8.00,8.05,7.95,8.00
